,,,Q1,,,,,Q2,,,,,Q3,,,,,Q4,,,,,Q5,,,,,Q6,,,,,Q7,,,,,Q8,,,
Roll,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
1907056,6,4,7,,,9,2,10,,,5,1,9,,,,,,,,,,,,,1,1,8,,,3,9,7,,,7,2,5,,
1907057,9,5,6,,,3,7,0,,,4,8,0,,,,,,,,,,,,,10,3,2,,,4,7,3,,,5,10,6,,
1907058,7,5,0,,,6,1,1,,,9,5,1,,,,,,,,,,,,,8,10,4,,,5,1,8,,,5,1,8,,
1907059,6,1,4,,,6,5,7,,,9,3,4,,,,,,,,,,,,,2,2,3,,,0,9,10,,,2,10,1,,
1907060,2,6,8,,,7,5,6,,,8,6,1,,,,,,,,,,,,,9,4,9,,,9,5,10,,,1,9,8,,
1907061,3,2,5,,,3,0,4,,,5,3,6,,,,,,,,,,,,,7,5,6,,,9,7,5,,,6,6,6,,
1907062,8,9,5,,,2,10,8,,,10,9,8,,,,,,,,,,,,,2,7,4,,,1,9,1,,,5,9,2,,
1907063,6,3,9,,,6,7,2,,,3,0,0,,,,,,,,,,,,,8,6,4,,,1,10,2,,,10,6,9,,
1907064,0,8,6,,,8,1,5,,,1,2,2,,,,,,,,,,,,,3,6,10,,,7,3,1,,,1,0,3,,
1907065,9,4,2,,,5,10,3,,,3,9,4,,,,,,,,,,,,,0,7,7,,,5,9,0,,,6,2,4,,
1907066,1,4,0,,,2,4,0,,,7,0,4,,,,,,,,,,,,,1,4,8,,,3,4,7,,,6,5,7,,
1907067,3,7,2,,,0,8,6,,,5,6,9,,,,,,,,,,,,,6,4,6,,,2,6,10,,,4,3,3,,
1907068,5,9,5,,,3,4,7,,,5,8,8,,,,,,,,,,,,,1,5,7,,,9,5,8,,,0,8,4,,
1907069,0,4,4,,,10,1,8,,,0,0,5,,,,,,,,,,,,,10,3,5,,,2,8,0,,,8,1,5,,
1907070,0,0,4,,,3,9,4,,,2,4,0,,,,,,,,,,,,,5,6,7,,,9,10,7,,,0,1,6,,
1907071,1,1,4,,,7,5,1,,,6,5,8,,,,,,,,,,,,,0,2,0,,,1,1,10,,,6,1,5,,
1907072,7,8,8,,,1,10,1,,,2,0,1,,,,,,,,,,,,,3,8,10,,,6,5,8,,,3,9,6,,
1907073,5,7,4,,,7,5,3,,,5,7,3,,,,,,,,,,,,,9,0,8,,,3,7,3,,,9,4,4,,
1907074,2,2,7,,,5,3,2,,,8,1,9,,,,,,,,,,,,,4,8,3,,,2,8,9,,,9,5,5,,
1907075,2,8,1,,,2,10,4,,,1,8,7,,,,,,,,,,,,,2,10,7,,,9,1,10,,,0,7,1,,
1907076,6,7,5,,,6,10,3,,,6,4,8,,,,,,,,,,,,,1,5,2,,,10,5,1,,,5,4,8,,
1907077,5,9,9,,,3,5,7,,,9,0,4,,,,,,,,,,,,,9,2,0,,,3,6,6,,,3,4,6,,
1907078,5,1,8,,,4,10,9,,,5,6,9,,,,,,,,,,,,,5,8,1,,,2,9,2,,,5,10,9,,
1907079,6,6,4,,,8,10,10,,,4,8,10,,,,,,,,,,,,,7,3,7,,,5,1,6,,,6,5,2,,
1907080,3,4,0,,,6,3,10,,,9,7,4,,,,,,,,,,,,,2,0,9,,,9,1,7,,,3,0,10,,
1907081,5,6,5,,,0,9,6,,,8,1,8,,,,,,,,,,,,,9,5,5,,,9,3,8,,,6,0,2,,
1907082,5,8,3,,,8,3,5,,,4,0,3,,,,,,,,,,,,,7,4,6,,,8,6,7,,,6,10,10,,
1907083,3,4,8,,,5,2,6,,,9,2,0,,,,,,,,,,,,,1,5,10,,,5,10,4,,,1,6,0,,
1907084,2,0,4,,,9,1,1,,,9,1,5,,,,,,,,,,,,,1,4,0,,,10,1,5,,,6,8,4,,
1907085,0,5,6,,,1,1,7,,,9,4,10,,,,,,,,,,,,,9,5,2,,,3,1,1,,,2,8,8,,
1907086,9,3,3,,,2,2,10,,,8,8,2,,,,,,,,,,,,,3,5,3,,,1,9,3,,,5,3,6,,
1907087,3,1,6,,,8,8,6,,,1,7,1,,,,,,,,,,,,,7,9,0,,,4,6,0,,,8,9,1,,
1907088,7,0,4,,,4,0,10,,,4,9,8,,,,,,,,,,,,,2,3,2,,,3,4,10,,,2,1,4,,
1907089,4,2,9,,,8,3,7,,,2,0,4,,,,,,,,,,,,,5,6,7,,,1,3,9,,,2,6,10,,
1907090,9,8,2,,,8,1,9,,,2,4,9,,,,,,,,,,,,,2,8,9,,,3,9,9,,,0,10,3,,
1907091,2,2,3,,,9,8,9,,,4,9,8,,,,,,,,,,,,,2,2,0,,,4,0,7,,,1,10,7,,
1907092,4,0,0,,,9,0,6,,,1,0,6,,,,,,,,,,,,,10,1,7,,,7,4,5,,,8,3,4,,
1907093,8,6,3,,,0,6,1,,,3,10,8,,,,,,,,,,,,,2,10,0,,,8,5,9,,,0,3,3,,
1907094,2,9,4,,,4,9,2,,,3,6,0,,,,,,,,,,,,,4,4,4,,,1,2,8,,,7,2,6,,
1907095,10,10,2,,,4,7,1,,,2,9,4,,,,,,,,,,,,,8,3,6,,,10,3,7,,,1,7,5,,
1907096,1,3,6,,,7,6,6,,,3,6,5,,,,,,,,,,,,,1,4,10,,,2,3,8,,,4,7,2,,
1907097,9,4,4,,,10,1,5,,,6,2,2,,,,,,,,,,,,,2,9,5,,,10,4,6,,,1,7,1,,
1907098,2,0,4,,,7,10,4,,,6,6,6,,,,,,,,,,,,,1,1,5,,,10,5,1,,,6,7,4,,
1907099,3,1,9,,,6,5,1,,,3,5,2,,,,,,,,,,,,,10,2,3,,,4,2,3,,,2,10,4,,
1907100,4,8,4,,,3,2,9,,,4,5,9,,,,,,,,,,,,,3,2,0,,,4,0,10,,,3,6,4,,
1907101,8,4,2,,,9,10,6,,,5,5,4,,,,,,,,,,,,,2,4,9,,,2,4,4,,,6,3,0,,
1907102,4,0,5,,,0,8,7,,,8,4,9,,,,,,,,,,,,,7,6,1,,,0,9,3,,,9,10,8,,
1907103,4,6,2,,,4,6,8,,,8,8,4,,,,,,,,,,,,,2,8,10,,,10,6,7,,,1,5,9,,
1907104,7,7,6,,,0,8,10,,,8,5,7,,,,,,,,,,,,,4,0,10,,,8,5,4,,,5,2,0,,
1907105,8,0,5,,,6,2,10,,,7,8,3,,,,,,,,,,,,,1,2,3,,,5,8,0,,,10,3,1,,
1907106,4,1,0,,,1,0,5,,,6,0,10,,,,,,,,,,,,,0,4,7,,,9,5,2,,,10,4,2,,
1907107,7,0,6,,,5,0,2,,,6,10,7,,,,,,,,,,,,,10,6,6,,,0,10,2,,,10,3,4,,
1907108,4,8,5,,,1,4,1,,,1,10,1,,,,,,,,,,,,,4,8,2,,,10,4,0,,,0,0,8,,
1907109,2,7,5,,,10,6,5,,,2,7,3,,,,,,,,,,,,,2,8,7,,,10,1,4,,,8,3,6,,
1907110,4,1,5,,,1,3,3,,,8,5,10,,,,,,,,,,,,,5,3,1,,,6,7,6,,,0,5,10,,
1907111,4,4,7,,,2,3,8,,,6,7,1,,,,,,,,,,,,,0,7,7,,,7,4,10,,,10,3,5,,
1907112,10,2,8,,,2,1,4,,,1,1,1,,,,,,,,,,,,,5,2,5,,,2,2,7,,,7,0,10,,
1907113,7,10,8,,,4,3,9,,,0,3,4,,,,,,,,,,,,,2,7,0,,,9,1,2,,,0,3,10,,
1907114,6,0,9,,,4,7,5,,,2,2,7,,,,,,,,,,,,,4,6,2,,,3,6,5,,,3,6,9,,
1907115,0,9,5,,,1,7,9,,,1,9,10,,,,,,,,,,,,,4,0,7,,,3,9,0,,,0,3,7,,
1907116,10,10,8,,,6,2,8,,,6,7,1,,,,,,,,,,,,,8,2,7,,,6,7,2,,,3,9,9,,
1907117,6,7,0,,,0,9,9,,,9,6,2,,,,,,,,,,,,,9,1,4,,,9,4,9,,,5,1,0,,
1907118,4,8,3,,,6,2,6,,,7,1,7,,,,,,,,,,,,,8,10,2,,,4,4,3,,,9,9,0,,
1907119,0,6,6,,,4,0,4,,,6,2,9,,,,,,,,,,,,,7,5,7,,,6,7,9,,,7,5,8,,
1907120,8,7,5,,,1,1,1,,,5,10,3,,,,,,,,,,,,,3,2,10,,,5,7,2,,,2,7,1,,
1907121,5,9,10,,,0,10,6,,,8,7,5,,,,,,,,,,,,,7,3,9,,,0,4,3,,,6,2,2,,
1907122,9,9,2,,,5,4,4,,,0,4,5,,,,,,,,,,,,,9,4,5,,,1,8,6,,,6,7,0,,
1907123,4,3,4,,,4,4,10,,,3,1,1,,,,,,,,,,,,,9,3,5,,,10,5,2,,,5,10,3,,
1907124,1,10,4,,,9,9,8,,,9,2,2,,,,,,,,,,,,,5,6,4,,,3,7,9,,,8,2,4,,
1907125,0,10,10,,,3,9,3,,,7,8,8,,,,,,,,,,,,,6,7,2,,,3,9,1,,,10,8,4,,
